Player ID,Exchange,Exchange Amount,Cards Before 1,Cards Before 2,Cards Before 3,Cards Before 4,Cards Before 5,Card Exchanged 1,Card Exchanged 2,Card Exchanged 3,Win
Nick,['t'],3,9,9,1,5,10,1,5,10,False
Adam,['t'],3,10,10,5,6,11,5,6,11,True
Nick,['t'],2,2,2,10,11,12,10,11,,False
Adam,['n'],0,13,13,1,7,11,0,0,0,True
Nick,['t'],3,12,12,3,11,13,3,11,13,False
Adam,['t'],3,2,2,1,4,8,1,4,8,True
Nick,['t'],3,11,11,1,4,6,1,4,6,False
Adam,['t'],2,13,13,7,11,12,7,11,,True
Nick,['t'],3,13,13,7,10,11,7,10,11,False
Adam,['t'],3,13,13,2,4,11,2,4,11,True
Nick,['t'],3,1,1,2,7,10,2,7,10,True
Adam,['t'],2,12,12,5,6,11,5,6,,False
Nick,['t'],2,5,5,1,7,10,1,7,,False
Adam,['t'],3,13,13,7,8,9,7,8,9,True
Nick,['t'],3,11,11,2,7,13,2,7,13,True
Adam,['t'],3,12,12,3,5,10,3,5,10,False
Nick,['t'],2,7,7,1,8,13,1,8,,True
Adam,['n'],0,5,5,1,11,13,0,0,0,False
Nick,['t'],3,7,7,3,5,8,3,5,8,True
Adam,['t'],3,4,4,5,8,12,5,8,12,False
Nick,['t'],3,5,5,3,10,11,3,10,11,True
Adam,['t'],2,5,5,3,8,11,3,8,,False
Nick,['t'],3,12,12,1,2,6,1,2,6,True
Adam,['t'],3,1,1,2,5,9,2,5,9,False
Nick,['t'],3,10,10,3,6,8,3,6,8,True
Adam,['t'],2,3,3,1,8,12,1,8,,False
Nick,['t'],2,5,5,1,4,6,1,4,,False
Adam,['t'],2,8,8,4,7,13,4,7,,True
Nick,['t'],2,4,4,2,10,11,2,10,,False
Adam,['t'],2,12,12,1,5,8,1,5,,True
Nick,['t'],3,2,2,4,8,13,4,8,13,False
Adam,['t'],3,10,10,2,6,8,2,6,8,True
Nick,['t'],2,4,4,3,8,13,3,8,,True
Adam,['t'],3,13,13,2,3,5,2,3,5,False
Nick,['t'],3,2,2,5,7,8,5,7,8,False
Adam,['t'],3,6,6,7,8,11,7,8,11,True
Nick,['t'],2,6,6,3,10,12,3,10,,True
Adam,['t'],2,4,4,8,9,10,8,9,,False
Nick,['t'],3,7,7,1,2,3,1,2,3,False
Adam,['t'],3,10,10,3,6,11,3,6,11,True
Nick,['t'],2,4,4,7,9,12,7,9,,False
Adam,['t'],2,13,13,3,4,11,3,4,,True
Nick,['t'],3,9,9,1,12,13,1,12,13,True
Adam,['n'],0,1,1,5,9,10,0,0,0,False
Nick,['t'],3,7,7,1,8,13,1,8,13,True
Adam,['t'],2,3,3,5,8,13,5,8,,False
Nick,['t'],3,13,13,1,7,12,1,7,12,True
Adam,['t'],3,3,3,7,8,11,7,8,11,False
Nick,['n'],0,9,9,6,10,12,0,0,0,True
Adam,['t'],3,9,9,1,5,7,1,5,7,False
Nick,['n'],0,11,11,4,9,10,0,0,0,True
Adam,['n'],0,6,6,2,10,11,0,0,0,False
Nick,['t'],3,4,4,3,6,11,3,6,11,False
Adam,['t'],3,13,13,7,10,11,7,10,11,True
Nick,['n'],0,12,12,1,5,9,0,0,0,True
Adam,['t'],2,7,7,3,9,13,3,9,,False
Nick,['t'],2,8,8,2,4,5,2,4,,True
Adam,['n'],0,5,5,7,10,13,0,0,0,False
Nick,['t'],3,13,13,1,5,10,1,5,10,False
Adam,['n'],0,13,13,1,7,10,0,0,0,True
Nick,['t'],3,9,9,3,5,6,3,5,6,False
Adam,['t'],2,9,9,1,7,12,1,7,,True
Nick,['t'],3,3,3,4,8,11,4,8,11,False
Adam,['n'],0,13,13,4,7,11,0,0,0,True
Nick,['t'],2,13,13,6,7,8,6,7,,True
Adam,['t'],3,9,9,1,7,13,1,7,13,False
Nick,['n'],0,9,9,4,7,11,0,0,0,False
Adam,['t'],2,5,5,1,10,13,1,10,,True
Nick,['t'],2,12,12,7,9,10,7,9,,True
Adam,['n'],0,7,7,10,12,13,0,0,0,False
Nick,['t'],2,6,6,4,9,10,4,9,,False
Adam,['t'],2,3,3,9,12,13,9,12,,True
Nick,['t'],2,4,4,1,9,12,1,9,,False
Adam,['t'],2,13,13,9,11,12,9,11,,True
Nick,['t'],2,12,12,1,5,11,1,5,,True
Adam,['t'],2,7,7,5,6,12,5,6,,False
Nick,['t'],3,7,7,2,8,12,2,8,12,False
Adam,['t'],2,7,7,10,11,12,10,11,,True
Nick,['t'],3,8,8,2,5,10,2,5,10,True
Adam,['t'],3,6,6,1,11,12,1,11,12,False
Nick,['n'],0,10,10,1,5,13,0,0,0,False
Adam,['t'],2,11,11,7,9,12,7,9,,True
Nick,['t'],2,7,7,3,5,9,3,5,,False
Adam,['t'],2,6,6,1,5,13,1,5,,True
Nick,['t'],3,11,11,2,3,5,2,3,5,True
Adam,['t'],2,11,11,2,5,9,2,5,,False
Nick,['t'],2,2,2,7,8,9,7,8,,False
Adam,['t'],3,4,4,2,9,13,2,9,13,True
Nick,['t'],3,6,6,4,5,7,4,5,7,False
Adam,['t'],3,8,8,4,6,9,4,6,9,True
Nick,['t'],2,5,5,8,11,13,8,11,,True
Adam,['t'],3,4,4,3,6,7,3,6,7,False
Nick,['t'],3,10,10,1,4,6,1,4,6,False
Adam,['t'],2,10,10,1,2,11,1,2,,True
Nick,['t'],3,12,12,1,3,10,1,3,10,True
Adam,['t'],2,1,1,4,5,8,4,5,,False
Nick,['n'],0,8,8,1,2,11,0,0,0,True
Adam,['t'],3,2,2,4,5,10,4,5,10,False
Nick,['n'],0,5,5,6,7,9,0,0,0,False
Adam,['t'],3,4,4,1,2,8,1,2,8,True
Nick,['t'],2,12,12,2,6,10,2,6,,True
Adam,['n'],0,9,9,1,2,12,0,0,0,False
Nick,['n'],0,6,6,3,4,12,0,0,0,True
Adam,['t'],3,1,1,7,8,9,7,8,9,False
Nick,['t'],3,13,13,3,7,9,3,7,9,False
Adam,['t'],3,9,9,4,7,12,4,7,12,True
Nick,['t'],3,12,12,2,5,7,2,5,7,True
Adam,['n'],0,3,3,1,9,11,0,0,0,False
Nick,['t'],3,12,12,3,7,9,3,7,9,False
Adam,['t'],3,9,9,1,4,10,1,4,10,True
Nick,['t'],3,11,11,1,5,6,1,5,6,True
Adam,['t'],3,6,6,1,2,5,1,2,5,False
Nick,['n'],0,2,2,5,7,12,0,0,0,False
Adam,['t'],2,5,5,2,4,11,2,4,,True
Nick,['n'],0,6,6,1,9,11,0,0,0,False
Adam,['t'],2,1,1,6,11,13,6,11,,True
Nick,['t'],3,11,11,3,4,9,3,4,9,False
Adam,['t'],3,11,11,2,5,8,2,5,8,True
Nick,['t'],3,10,10,5,9,11,5,9,11,False
Adam,['t'],2,7,7,6,8,13,6,8,,True
Nick,['n'],0,2,2,4,5,11,0,0,0,False
Adam,['n'],0,13,13,1,4,5,0,0,0,True
Nick,['n'],0,1,1,3,7,12,0,0,0,True
Adam,['t'],3,1,1,4,6,13,4,6,13,False
Nick,['t'],3,12,12,2,7,11,2,7,11,True
Adam,['t'],2,7,7,10,11,12,10,11,,False
Nick,['t'],3,11,11,4,5,9,4,5,9,False
Adam,['t'],3,5,5,4,7,10,4,7,10,True
Nick,['n'],0,7,7,5,9,11,0,0,0,True
Adam,['n'],0,7,7,1,9,11,0,0,0,False
Nick,['t'],2,4,4,6,7,11,6,7,,False
Adam,['n'],0,4,4,9,11,12,0,0,0,True
Nick,['t'],3,3,3,2,4,7,2,4,7,True
Adam,['n'],0,12,12,4,5,9,0,0,0,False
Nick,['t'],2,8,8,7,11,13,7,11,,True
Adam,['t'],3,1,1,5,6,11,5,6,11,False
Nick,['t'],3,11,11,2,5,8,2,5,8,False
Adam,['t'],3,12,12,1,2,8,1,2,8,True
Nick,['n'],0,7,7,1,5,12,0,0,0,False
Adam,['t'],3,1,1,5,6,11,5,6,11,True
Nick,['t'],2,12,12,6,9,10,6,9,,True
Adam,['t'],3,6,6,1,7,10,1,7,10,False
Nick,['t'],3,1,1,2,6,9,2,6,9,False
Adam,['n'],0,10,10,2,7,11,0,0,0,True
Nick,['n'],0,7,7,1,11,12,0,0,0,False
Adam,['t'],3,3,3,4,7,9,4,7,9,True
Nick,['t'],2,11,11,3,6,12,3,6,,False
Adam,['t'],3,13,13,5,6,7,5,6,7,True
Nick,['t'],3,11,11,3,8,12,3,8,12,True
Adam,['t'],2,2,2,3,6,7,3,6,,False
Nick,['t'],2,11,11,2,7,13,2,7,,True
Adam,['t'],2,2,2,5,7,11,5,7,,False
Nick,['t'],2,13,13,5,6,7,5,6,,True
Adam,['n'],0,11,11,3,8,10,0,0,0,False
Nick,['t'],2,6,6,1,10,11,1,10,,True
Adam,['t'],2,4,4,1,6,13,1,6,,False
Nick,['t'],3,10,10,4,6,9,4,6,9,False
Adam,['t'],3,3,3,2,6,10,2,6,10,True
Nick,['t'],2,8,8,2,3,11,2,3,,False
Adam,['t'],3,9,9,3,5,6,3,5,6,True
Nick,['t'],3,5,5,4,7,9,4,7,9,True
Adam,['n'],0,2,2,3,8,10,0,0,0,False
